approach,classifier,test_f1_macro,test_roc_auc,test_accuracy,test_precision,test_recall,train_time_sec,inference_ms_per_sample
hybrid,LinearSVC,0.9726831503081576,0.9970010541168826,0.9920222222222222,0.9802723998278374,0.9653782534954662,128.50830913200025,0.010275381133316
BERT-CLS,LinearSVC,0.958778587914422,0.9951992400769512,0.988,0.9677124741560368,0.95024821356155,63.67950264799947,0.0039369530222352
TF-IDF,LinearSVC,0.9586296736546874,0.993373400429238,0.9880666666666666,0.9721485809971953,0.9460122019189856,4.453621737000049,0.0002487881777698
BERT-mean,LinearSVC,0.9546214453745658,0.9947625573421606,0.9868,0.9638510106706628,0.9458259168919068,63.04600981400017,0.0037597945777734
hybrid,LogisticRegression,0.9466158201127494,0.9969356162987912,0.9830444444444444,0.91957585320299,0.9784641523681672,37.6792430760006,0.0032863656222212
hybrid,RandomForest,0.9428003205702772,0.9927059573252466,0.9842222222222222,0.9797837476421822,0.912004946291979,1454.1268948670004,0.0271476777777732
TF-IDF,LogisticRegression,0.9426338225715456,0.9933949355776768,0.9820666666666666,0.9214911454468216,0.9666234165772698,217.23650087499985,5.0246644443379614e-05
FastText,RandomForest,0.9341735925909196,0.9881387179195208,0.9817555555555556,0.9677339498499652,0.905888504665616,285.4040416329999,0.0143402345777758
BERT-mean,RandomForest,0.9331163600811504,0.9905647183150644,0.9817333333333332,0.9750685468871616,0.8990910489295354,372.2410600370004,0.0084966447777737
BERT-CLS,RandomForest,0.931878517496902,0.9902474411196146,0.9813333333333332,0.9717610066772828,0.8992504649634322,389.0838266150004,0.0156223144444488
FastText,LinearSVC,0.926790424916858,0.9905226102411152,0.9788222222222224,0.938029566898796,0.9162303701528436,25.430641103999733,0.0043583819999993
BERT-CLS,LogisticRegression,0.918897913681554,0.995112526810727,0.9730444444444444,0.8798325837996801,0.9701353637901862,21.393487457000447,0.0017988349555606
TF-IDF,RandomForest,0.9176607128344152,0.98768479175032,0.9750666666666666,0.9093734595012566,0.9263763616786228,892.0590481179997,0.2262630818222229
BERT-mean,LogisticRegression,0.914280254406769,0.9946710229728228,0.9712888888888888,0.8735572288399507,0.9686779456507192,18.83890330899976,0.0012574676000036
FastText,LogisticRegression,0.8845792331510133,0.990481737408364,0.9595111111111112,0.8362884386140348,0.956617862986114,6.7038470930001495,0.0016258651333272
